Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Location,Public Space,Box Size (Height in.),Box Size (Width in.),Controller Part,Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV-01-01,VAV-1-01,AHU-01-01,1st West,Room 1-124,Classroom 1-124,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1170,400,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_1,1436
VAV-01-02,VAV-1-02,AHU-01-01,1st West,Room 1-126,Classroom 1-126,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1185,400,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_2,1436
VAV-01-03,VAV-1-03,AHU-01-01,1st West,Room 1-128,Classroom 1-128,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1185,400,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_3,1436
VAV-01-04,VAV-1-04,AHU-01-01,1st West,Room 1-131,Classroom 1-131,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1220,400,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_4,1891
VAV-01-05,VAV-1-05,AHU-01-01,1st West,Room 1-132,Classroom 1-132,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1260,400,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_5,1891
VAV-01-06,VAV-1-06,AHU-01-01,1st West,Room 1-133,Classroom 1-133,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1215,400,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_6,1891
VAV-01-07,VAV-1-07,AHU-01-01,1st West,Room 1-134,Classroom 1-134,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1260,410,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_7,1891
VAV-01-08,VAV-1-08,AHU-01-01,1st West,Room 1-122,Teacher Lounge 1-122,FALSE,8,0,SXWRPV510001,Round,None,2 Stage EH,510,225,0,300,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_8,904
VAV-01-09,VAV-1-09,AHU-01-01,1st West,Room 1-120A,Public RRs 1-120,TRUE,6,0,SXWRPV510001,Round,None,1 Stage EH,400,200,0,200,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_9,448
VAV-01-10,VAV-1-10,AHU-01-01,1st West,Room 1-125,Classroom 1-125,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1120,400,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_10,1436
VAV-01-11,VAV-1-11,AHU-01-01,1st West,Room 1-135E,Guidance Secretary 1-135E,FALSE,8,0,SXWRPV510001,Round,None,SCR EH,790,150,0,500,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_11,904
VAV-01-12,VAV-1-12,AHU-01-01,1st West,Room 1-129,Resource 1-129,FALSE,8,0,SXWRPV510001,Round,None,2 Stage EH,610,250,0,400,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_12,904
VAV-01-13,VAV-1-13,AHU-01-01,1st West,Room 1-135S,Corridor 1-135S,TRUE,6,0,SXWRPV510001,Round,None,1 Stage EH,380,150,0,200,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_13,448
VAV-01-14,VAV-1-14,AHU-01-01,1st West,Room 1-135B,Conference 1-135B,FALSE,8,0,SXWRPV510001,Round,None,1 Stage EH,620,150,0,300,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_14,904
VAV-01-15,VAV-1-15,AHU-01-01,1st West,Room 1-142,Corridor 1-142,TRUE,8,0,SXWRPV510001,Round,None,1 Stage EH,560,225,0,300,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_15,904
VAV-01-16,VAV-1-16,AHU-01-01,1st West,Room 1-135A,Reception 1-135A,FALSE,8,0,SXWRPV510001,Round,None,1 Stage EH,560,200,0,200,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_16,904
VAV-01-17A,VAV-1-17A,AHU-01-01,1st West,Room 1-100,Lobby 1-100,TRUE,10,0,SXWRPV510001,Round,None,SCR EH,1250,600,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_17A,1436
VAV-01-17B,VAV-1-17B,AHU-01-01,1st West,Room 1-100,Lobby 1-100,TRUE,10,0,SXWRPV510001,Round,None,2 Stage EH,1050,600,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st We_VAV_1_17B,1436
VAV-01-17C,VAV-1-17C,AHU-01-04,1st East,Room 1-100,Lobby 1-100,TRUE,10,0,SXWRPV510001,Round,None,2 Stage EH,1250,600,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_17C,1436
VAV-01-17D,VAV-1-17D,AHU-01-04,1st East,Room 1-100,Lobby 1-100,TRUE,10,0,SXWRPV510001,Round,None,SCR EH,1050,600,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_17D,1436
VAV-01-18,VAV-1-18,AHU-01-04,1st East,Room 1-101,Art Classroom 1-101,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1265,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_18,1891
VAV-01-19,VAV-1-19,AHU-01-04,1st East,Room 1-103,Classroom 1-103,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1315,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_19,1891
VAV-01-20,VAV-1-20,AHU-01-04,1st East,Room 1-104,Classroom 1-104,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1265,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_20,1891
VAV-01-21,VAV-1-21,AHU-01-04,1st East,Room 1-105,Classroom 1-105,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1145,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_21,1891
VAV-01-22,VAV-1-22,AHU-01-04,1st East,Room 1-106,Classroom 1-106,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1220,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_22,1891
VAV-01-23,VAV-1-23,AHU-01-04,1st East,Room 1-109,Classroom 1-109,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1145,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_23,1891
VAV-01-24,VAV-1-24,AHU-01-04,1st East,Room 1-112,Classroom 1-112,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1065,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_24,1891
VAV-01-25,VAV-1-25,AHU-01-04,1st East,Room 1-116,Classroom 1-116,FALSE,12,0,SXWRPV510001,Round,None,SCR EH,1245,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_25,1891
VAV-01-26,VAV-1-26,AHU-01-04,1st East,Room 1-115,Classroom 1-115,FALSE,10,0,SXWRPV510001,Round,None,SCR EH,1060,450,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_26,1436
VAV-01-27,VAV-1-27,AHU-01-04,1st East,Room 1-102,Reading Stacks 1-102,TRUE,8,0,SXWRPV510001,Round,None,2 Stage EH,615,200,0,300,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1st Ea_VAV_1_27,904
