Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Location,Public Space,Box Size (Height in.),Box Size (Width in.),Controller Part,Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV-01-01,45292,AHU-01-01,First North,Room 1-124,Classroom 1-124,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1170,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_01,1436
VAV-01-02,45293,AHU-01-01,First North,Room 1-126,Classroom 1-126,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1185,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_02,1436
VAV-01-03,45294,AHU-01-01,First North,Room 1-128,Classroom 1-128,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1185,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_03,1436
VAV-01-04,45295,AHU-01-01,First North,Room 1-131,Classroom 1-131,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1220,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_04,1436
VAV-01-05,45296,AHU-01-01,First North,Room 1-132,Classroom 1-132,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1260,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_05,1436
VAV-01-06,45297,AHU-01-01,First North,Room 1-130,Classroom 1-130,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1215,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_06,1436
VAV-01-07,45298,AHU-01-01,First North,Room 1-129,Art Classroom 1-129,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1260,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_07,1436
VAV-01-08,45299,AHU-01-01,First North,Room 1-222,Teacher Lounge 1-22,FALSE,8,0,SXWRPV5A10001,Round,None,3 Stage EH,510,150,0,300,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_08,904
VAV-01-09,45300,AHU-01-01,First North,Room 1-120A,Women's RR 1-120A,TRUE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,350,100,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_09,448
VAV-01-10,45301,AHU-01-01,First North,Room 1-125,Classroom 1-125,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1120,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_10,1436
VAV-01-11,45302,AHU-01-01,First North,Room 1-142,Corridor 1-142,TRUE,8,0,SXWRPV4A10001,Round,None,SCR EH,790,200,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_11,904
VAV-01-12,45303,AHU-01-01,First North,Room 1-135E,Guidance Secretary 1-135E,FALSE,8,0,SXWRPV5A10001,Round,None,3 Stage EH,610,200,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_12,904
VAV-01-13,45304,AHU-01-01,First North,Room 1-135C,Principal's Office 1-135C,FALSE,6,0,SXWRPV5A10001,Round,None,3 Stage EH,380,100,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_13,448
VAV-01-13A,,AHU-01-01,First North,Room 1-135D,Production Workroom 1-135D,FALSE,6,0,SXWRPV5A10001,Round,None,3 Stage EH,350,100,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_13A,448
