Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Location,Public Space,Box Size (Height in.),Box Size (Width in.),Controller Part,Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV-01-01,,AHU-01-01,First East,Room 1-110,Classroom 1-110,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_1,1436
VAV-01-02,,AHU-01-01,First East,Room 1-109,Classroom 1-109,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_2,1436
VAV-01-03,,AHU-01-01,First East,Room 1-108,Classroom 1-108,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_3,1436
VAV-01-04,,AHU-01-01,First East,Room 1-107,Classroom 1-107,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_4,1436
VAV-01-05,,AHU-01-01,First East,Room 1-106,Classroom 1-106,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_5,1436
VAV-01-06,,AHU-01-01,First East,Room 1-105,Classroom 1-105,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_6,1436
VAV-01-07,,AHU-01-01,First East,Room 1-114,Classroom 1-114,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_7,1436
VAV-01-08,,AHU-01-01,First East,Room 1-115,Classroom 1-115,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_8,1436
VAV-01-09,,AHU-01-01,First East,Corridor,CORRIDOR,TRUE,10,0,SXWRPV5A10001,Round,None,SCR EH,700,175,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_9,1436
VAV-01-10,,AHU-01-01,First East,Room 1-112,Systems 1-112,FALSE,12,0,SXWRPV5A10001,Round,None,None,1200,300,0,300,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_10,1891
VAV-01-11,,AHU-01-01,First East,Room 1-116,Classroom 1-1101-116,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_11,1436
VAV-01-12,,AHU-01-01,First East,Room 1-101D,C.C.T.V. 1-101D,FALSE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,400,100,0,250,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_12,448
VAV-01-13,,AHU-01-01,First East,Room 1-101,Reading Stacks 1-101,TRUE,8,0,SXWRPV5A10001,Round,None,SCR EH,825,210,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_13,904
VAV-01-14,,AHU-01-01,First East,Room 1-101,Reading Stacks 1-101,TRUE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,600,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_14,1436
VAV-01-15,,AHU-01-01,First East,Room 1-101,Reading Stacks 1-101,TRUE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,600,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_15,1436
VAV-01-16,,AHU-01-01,First East,Room 1-104,Classroom 1-104,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_16,1436
VAV-01-17,,AHU-01-01,First East,Room 1-103,Resource 1-103,FALSE,8,0,SXWRPV5A10001,Round,None,SCR EH,600,150,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_17,904
VAV-01-18,,AHU-01-01,First East,Room 1-102,Art Classroom 1-102,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1150,290,0,750,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_18,1436
VAV-01-19,,AHU-01-01,First East,Lobby,LOBBY,TRUE,12,0,SXWRPV5A10001,Round,None,SCR EH,1250,315,0,650,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_19,1891
VAV-01-20,,AHU-01-01,First East,Lobby,LOBBY,TRUE,10,0,SXWRPV5A10001,Round,None,SCR EH,1050,265,0,550,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_20,1436
VAV-01-21,,AHU-01-05,First West,Lobby,LOBBY,TRUE,12,0,SXWRPV5A10001,Round,None,SCR EH,1250,315,0,650,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_21,1891
VAV-01-22,,AHU-01-05,First West,Lobby,LOBBY,TRUE,10,0,SXWRPV5A10001,Round,None,SCR EH,1050,265,0,550,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_22,1436
VAV-01-23,,AHU-01-05,First West,Room 1-138D,Conference 1-138D,FALSE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,350,90,0,250,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_23,448
VAV-01-24,,AHU-01-05,First West,Room 1-138E,Principal 1-138E,FALSE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,200,50,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_24,448
VAV-01-25,,AHU-01-05,First West,Room 1-138O,Asst. Principal 1-138O,FALSE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,275,70,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_25,448
VAV-01-26,,AHU-01-05,First West,Room 1-138I,Bookkeeping 1-138I,FALSE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,330,85,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_26,448
VAV-01-27,,AHU-01-05,First West,Room 1-138M,Curruculum Assistant 1-138M,FALSE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,425,110,0,300,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_27,448
VAV-01-28,,AHU-01-05,First West,Room 1-138L,Guidance Sec. 1-138K,FALSE,8,0,SXWRPV5A10001,Round,None,1 Stage EH,625,160,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_28,904
VAV-01-29,,AHU-01-05,First West,Room 1-138F,Production Workroom 1-138F,FALSE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,450,115,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_29,448
VAV-01-30,,AHU-01-05,First West,Corridor,CORRIDOR,TRUE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,500,125,0,450,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_30,448
VAV-01-31,,AHU-01-05,First West,Room 1-134,Classroom 1-134,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_31,1436
VAV-01-32,,AHU-01-05,First West,Room 1-135,Teacher Planning 1-135,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_32,1436
VAV-01-33,,AHU-01-05,First West,Room 1-137,Clinic 1-137,FALSE,8,0,SXWRPV5A10001,Round,None,1 Stage EH,530,135,0,350,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_33,904
VAV-01-34,,AHU-01-05,First West,Room 1-131,Music Classroom 1-131,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_34,1436
VAV-01-35,,AHU-01-05,First West,Room 1-124,Classroom 1-124,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_35,1436
VAV-01-36,,AHU-01-05,First West,Room 1-125,Resource 1-125,FALSE,8,0,SXWRPV5A10001,Round,None,SCR EH,650,165,0,500,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_36,904
VAV-01-37,,AHU-01-05,First West,Room 1-121,Teacher Dining 1-121,FALSE,8,0,SXWRPV5A10001,Round,None,1 Stage EH,510,130,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_37,904
VAV-01-38,,AHU-01-05,First West,Room 1-128,Classroom 1-128,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_38,1436
VAV-01-39,,AHU-01-05,First West,Room 1-129,Classroom 1-129,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_39,1436
VAV-01-40,,AHU-01-05,First West,Room 1-130,Classroom 1-130,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_40,1436
VAV-01-41,,AHU-01-05,First West,Room 1-132,Classroom 1-132,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_41,1436
VAV-01-42,,AHU-01-05,First West,Room 1-133,Classroom 1-133,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1000,250,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_42,1436
VAV-01-43,,AHU-01-05,First West,System 127,System 127,FALSE,6,0,SXWRPV5A10001,Round,None,None,400,100,0,100,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV1_43,448
VAV-02-01,,AHU-02-01,Second East,Room 1-215,Classroom 1-215,FALSE,12,0,SXWRPV5A10001,Round,None,SCR EH,1350,340,0,900,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_1,1891
VAV-02-02,,AHU-02-01,Second East,Room 1-214,Classroom 1-214,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1250,315,0,900,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_2,1436
VAV-02-03,,AHU-02-01,Second East,Room 1-213,Classroom 1-213,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1250,315,0,900,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_3,1436
VAV-02-04,,AHU-02-01,Second East,Room 1-209,Classroom 1-209,FALSE,10,0,SXWRPV5A10001,Round,None,SCR EH,1250,315,0,900,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_4,1436
VAV-02-05,,AHU-02-01,Second East,Room 1-208,Classroom 1-208,FALSE,12,0,SXWRPV5A10001,Round,None,SCR EH,1350,340,0,900,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_5,1891
