Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Location,Controller Part,Box Size (Height in.),Box Size (Width in.),Damper Type,Fan Type,Controller Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV-01-01,VAV-01-01,AHU 1-1,1,Room 001,Work Room - 001,,8,0,Round,None,R-P-V-5A,1 Stage EH,500,125,0,250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1_VAV_01_01,904
VAV-01-02,VAV-01-02,AHU 1-1,1,Room 002,Office - 002,,10,0,Round,None,R-P-V-4A,SCR EH,1000,250,0,500,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1_VAV_01_02,1436
VAV-01-03,VAV-01-03,AHU 1-1,1,Room 003,Office - 003,,10,0,Round,None,R-P-V-4A,SCR EH,1000,250,0,500,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1_VAV_01_03,1436
VAV-01-04,VAV-01-04,AHU 1-1,1,Room 004,Staff Classroom - 004,,10,0,Round,None,R-P-V-4A,SCR EH,1000,250,0,500,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1_VAV_01_04,1436
VAV-01-05,VAV-01-05,AHU 1-1,1,Room 005,Staff Classroom - 005,,10,0,Round,None,R-P-V-4A,SCR EH,1000,250,0,500,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1_VAV_01_05,1436
VAV-01-06,VAV-01-06,AHU 1-1,1,Room 006,Office - 006,,10,0,Round,None,R-P-V-4A,SCR EH,1000,250,0,500,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1_VAV_01_06,1436
VAV-01-07,VAV-01-07,AHU 1-1,1,Room 007,Office - 007,,10,0,Round,None,R-P-V-4A,SCR EH,1000,250,0,500,0,FALSE,TRUE,FALSE,1,TRUE,FALSE,1,0,1_VAV_01_07,1436
VAV-01-08,VAV-01-08,AHU 1-1,1,Room 026,Mech RM - 026,,5,0,Round,None,R-P-V-4A,None,125,31,0,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,1_VAV_01_08,360
VAV-02-01,VAV-02-01,AHU 2-1,2,Room 008,Office - 008,,10,0,Round,None,R-P-V-4A,SCR EH,1050,263,0,525,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2_VAV_02_01,1436
VAV-02-02,VAV-02-02,AHU 2-1,2,Room 009,Office - 009,,10,0,Round,None,R-P-V-4A,SCR EH,1000,250,0,500,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,2_VAV_02_02,1436
VAV-02-03,VAV-02-03,AHU 2-1,2,Room 010,Office - 010,,10,0,Round,None,R-P-V-4A,SCR EH,1050,263,0,525,0,FALSE,TRUE,FALSE,1,TRUE,FALSE,1,0,2_VAV_02_03,1436
