Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Public Space,Location,Controller Part,Box Size (Height in.),Box Size (Width in.),Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV 1-1 ,1,AHU 1-1,First Southeast,Kindergarten Classroom 1-110,FALSE, 1-110 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_1 ,1523
VAV 1-2 ,2,AHU 1-1,First Southeast,Kindergarten Classroom 1-109,FALSE, 1-109 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_2 ,1523
VAV 1-3 ,3,AHU 1-1,First Southeast,Kindergarten Classroom 1-108,FALSE, 1-108 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_3 ,1523
VAV 1-4 ,4,AHU 1-1,First Southeast,Kindergarten Classroom 1-107,FALSE, 1-107 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_4 ,1523
VAV 1-5 ,5,AHU 1-1,First Southeast,Kindergarten Classroom 1-106,FALSE, 1-106 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_5 ,1523
VAV 1-6 ,6,AHU 1-1,First Southeast,Kindergarten Classroom 1-105,FALSE, 1-105 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_6 ,1523
VAV 1-7 ,7,AHU 1-1,First Southeast,Kindergarten Classroom 1-114,FALSE, 1-114 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_7 ,1523
VAV 1-8 ,8,AHU 1-1,First Southeast,Kindergarten Classroom 1-115,FALSE, 1-115 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_8 ,1523
VAV 1-9 ,9,AHU 1-1,First Southeast,Corridor 1-163,TRUE, 1-163 ,,8,0,Round,None,SCR EH,700,200,0,700,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_9 ,947
VAV 1-10 ,10,AHU 1-1,First Southeast,Electrical 1-111,FALSE, 1-111 ,,6,0,Round,None,None,400,200,0,400,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_10 ,517
VAV 1-11 ,11,AHU 1-1,First Southeast,Kindergarten Classroom 1-116,FALSE, 1-116 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_11 ,1523
VAV 1-12 ,12,AHU 1-1,First Southeast,CCTV 1-101D,FALSE, 1-101D ,,6,0,Round,None,2 Stage EH,400,180,0,400,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_12 ,517
VAV 1-13 ,13,AHU 1-1,First Southeast,Reading Room / Stacks North 1-101 ,TRUE, 1-101 ,,10,0,Round,None,SCR EH,825,250,0,825,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_13 ,1523
VAV 1-14 ,14,AHU 1-1,First Southeast,Reading Room / Stacks Center 1-101 ,TRUE, 1-101 ,,10,0,Round,None,SCR EH,1000,250,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_14 ,1523
VAV 1-15 ,15,AHU 1-1,First Southeast,Reading Room / Stacks South 1-101 ,TRUE, 1-101 ,,10,0,Round,None,SCR EH,1000,250,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_15 ,1523
VAV 1-16 ,16,AHU 1-1,First Southeast,Kindergarten Classroom 1-104,FALSE, 1-104 ,,10,0,Round,None,SCR EH,1000,465,0,1000,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_16 ,1523
VAV 1-17 ,17,AHU 1-1,First Southeast,Resource 1-103,FALSE, 1-103 ,,8,0,Round,None,3 Stage EH,600,225,0,600,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_17 ,947
VAV 1-18 ,18,AHU 1-1,First Southeast,Art Classroom 1-102,FALSE, 1-102 ,,10,0,Round,None,SCR EH,1150,465,0,1150,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_18 ,1523
VAV 1-19 ,19,AHU 1-1,First Southeast,Lobby North 1-100,TRUE, 1-100 ,,10,0,Round,None,SCR EH,1250,75,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_19 ,1523
VAV 1-20 ,20,AHU 1-1,First Southeast,Lobby North 1-100,TRUE, 1-100 ,,10,0,Round,None,SCR EH,1050,75,0,1050,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_20 ,1523
VAV 1-21 ,21,AHU 1-4,First Northwest,Lobby South1-100,TRUE, 1-100 ,,10,0,Round,None,SCR EH,1250,75,0,1250,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,0,First _VAV 1_21 ,1523
