Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Location,Locking Cover,Controller Part,Box Size (Height in.),Box Size (Width in.),Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV 1-1.1,VAV 1-1.1,AHU 1-1,First North,KINDERGARTEN CLASSROOM 1-112,KINDERGARTEN CLASSROOM 1-112,FALSE,,10,0,Round,None,SCR EH,1065,165,0,535,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,1,First _VAV 1_1.1,0
VAV 1-1.2,VAV 1-1.2,AHU 1-1,First North,KINDERGARTEN CLASSROOM 1-109,KINDERGARTEN CLASSROOM 1-109,FALSE,,12,0,Round,None,SCR EH,1145,240,0,575,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,2,First _VAV 1_1.2,1400
VAV 1-1.3,VAV 1-1.3,AHU 1-1,First North,CLOSED CIRCUIT T.V. 1-102E,CLOSED CIRCUIT T.V. 1-102E,FALSE,,8,0,Round,None,SCR EH,585,105,0,295,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,3,First _VAV 1_1.3,0
VAV 1-1.4,VAV 1-1.4,AHU 1-1,First North,KINDERGARTEN CLASSROOM 1-106,KINDERGARTEN CLASSROOM 1-106,FALSE,,12,0,Round,None,SCR EH,1145,240,0,575,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,4,First _VAV 1_1.4,0
VAV 1-1.5,VAV 1-1.5,AHU 1-1,First North,KINDERGARTEN CLASSROOM 1-105,KINDERGARTEN CLASSROOM 1-105,FALSE,,12,0,Round,None,SCR EH,1220,240,0,610,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,5,First _VAV 1_1.5,0
VAV 1-1.6,VAV 1-1.6,AHU 1-1,First North,MEDIA DIR. OFFICE 1-102B,AUDIO VISUAL STORAGE 1-102A,FALSE,,8,0,Round,None,SCR EH,615,105,0,310,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,6,First _VAV 1_1.6,0
VAV 1-1.7,VAV 1-1.7,AHU 1-1,First North,KINDERGARTEN CLASSROOM 1-104,KINDERGARTEN CLASSROOM 1-104,FALSE,,12,0,Round,None,SCR EH,1265,240,0,635,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,7,First _VAV 1_1.7,0
VAV 1-1.8,VAV 1-1.8,AHU 1-1,First North,KINDERGARTEN CLASSROOM 1-103,KINDERGARTEN CLASSROOM 1-103,FALSE,,12,0,Round,None,SCR EH,1375,240,0,690,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,8,First _VAV 1_1.8,0
VAV 1-1.9,VAV 1-1.9,AHU 1-1,First North,MUSIC 1-101,MUSIC 1-101,FALSE,,12,0,Round,None,SCR EH,1330,240,0,665,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,9,First _VAV 1_1.9,0
VAV 1-1.10,VAV 1-1.10,AHU 1-1,First North,LOBBY 1-100,MUSIC 1-101,FALSE,,10,0,Round,None,SCR EH,1050,165,0,525,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,1,10,First _VAV 1_1.1,0
